number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,city,zip code,cost rank
3,1.5,1540,1540,2,1941,Seattle,WA 98126,3
3,2.5,2830,2830,2,2001,Kenmore,WA 98028,3
5,2.25,2890,2890,2,1977,Sammamish,WA 98074,3
3,2.5,2660,2660,2,2014,Seattle,WA 98118,3
4,2.75,2820,1860,1,1965,Bellevue,WA 98006,3
3,2.5,1700,1700,2,1992,Seattle,WA 98122,3
3,2.5,2480,2480,2,2004,Redmond,WA 98053,3
4,2.5,3550,3550,2,2007,Snoqualmie,WA 98065,3
4,2.5,2150,2150,2,1982,Redmond,WA 98052,3
4,3,2690,2690,1,1954,Normandy Park,WA 98166,3
3,2.25,1990,1990,2,1987,Redmond,WA 98052,3
4,2.5,2650,2650,2,2006,Seattle,WA 98125,3
4,2.5,3230,3230,2,2004,Sammamish,WA 98075,4
3,2.5,2770,2770,2,1992,Bellevue,WA 98008,4
6,2,2150,1270,1,1952,Seattle,WA 98119,4
4,1.75,2450,1630,1,1987,Bellevue,WA 98006,4
4,2.25,2560,1760,1,1976,Redmond,WA 98052,4
4,3.5,3070,2190,2,2009,Issaquah,WA 98027,4
4,2.75,3160,3160,2,2014,Kirkland,WA 98033,4
4,2.25,3500,1830,1,1938,Seattle,WA 98146,4
4,2.25,2260,2260,1,1967,Kirkland,WA 98033,4
4,3.5,3120,2480,2,2008,Seattle,WA 98115,4
4,2.75,2620,1720,1.5,1926,Seattle,WA 98144,4
3,2,2390,2390,2,1939,Seattle,WA 98115,4
6,3,2880,2180,2,1919,Seattle,WA 98103,4
4,3.5,4560,2230,1,1995,Bellevue,WA 98006,4
4,3.5,4380,4380,1,2001,Redmond,WA 98053,4
4,3.5,4460,2550,1,1962,Medina,WA 98039,4
3,1,1010,1010,1,1966,Carnation,WA 98014,1
2,1.75,1100,1100,1,1980,Des Moines,WA 98198,1
3,1.75,1380,990,1,1981,Covington,WA 98042,1
2,1,1080,1080,1,1972,Des Moines,WA 98198,1
3,1,1240,1240,1,1916,Seattle,WA 98118,1
3,1,1020,1020,1,1956,Seattle,WA 98106,1
4,2.5,2160,2160,2,1993,Pacific,WA 98047,1
3,1,1060,1060,1,1956,Enumclaw,WA 98022,1
5,2,1930,1930,1.5,1941,Seattle,WA 98146,1
2,1.75,1330,1330,1,1993,SeaTac,WA 98188,1
3,1.5,1780,1780,1,1953,Seattle,WA 98168,1
2,1,1140,1140,1,1947,Seattle,WA 98106,1
3,2,1170,1170,1,1984,Auburn,WA 98001,1
3,1.5,1060,1060,1,1973,Renton,WA 98058,1
3,2.5,1990,1570,1,1969,Kent,WA 98042,1
6,2,2220,2220,1,1977,Auburn,WA 98002,1
4,1,1310,1160,1.5,1945,Seattle,WA 98126,1
3,1.75,1390,860,1,1957,Seattle,WA 98106,1
3,2.5,2030,2030,2,1993,Maple Valley,WA 98038,1
3,1.75,2380,1320,1.5,1935,Seattle,WA 98178,1
3,2.25,1870,1870,2,1997,Renton,WA 98056,1
2,1,790,790,1,1925,Seattle,WA 98118,1
3,2.5,2720,2720,2,2002,Auburn,WA 98092,1
2,1,970,970,1,1949,Seattle,WA 98106,2
4,2.25,2000,2000,1,1978,Federal Way,WA 98023,2
3,1,990,990,1,1947,Seattle,WA 98133,2
3,1,1250,1250,1,1969,Woodinville,WA 98077,2
3,2.25,1800,1800,2,1995,Maple Valley,WA 98038,2
4,2.5,2220,2220,2,2014,Seattle,WA 98146,2
4,2.75,1800,1050,1,2002,Renton,WA 98055,2
3,1.5,980,980,1,1969,Kirkland,WA 98034,2
3,2.5,1530,1530,3,2009,Seattle,WA 98103,2
3,2.5,2150,2150,2,1988,Sammamish,WA 98074,2
3,1.75,2000,2000,1,1961,Kirkland,WA 98033,2
3,2,1540,1120,1,1961,Bothell,WA 98011,2
3,2.25,1445,1300,2,2003,Issaquah,WA 98027,2
3,1.75,1540,1540,1,1967,Issaquah,WA 98027,2
3,1.75,2470,1570,1,1962,Des Moines,WA 98198,2
3,2,1440,1440,1,2007,Redmond,WA 98053,2
1,1,960,960,1,1945,Carnation,WA 98014,2
3,2.75,2550,2550,2,1994,Shoreline,WA 98155,2
3,1,1150,1150,1,1906,Seattle,WA 98103,2
4,2.25,2080,1220,1,1979,Sammamish,WA 98074,2
2,1,1200,1070,1,1940,Seattle,WA 98126,2
4,2,1660,850,1,1945,Seattle,WA 98126,2
4,2,1790,840,1,1909,Seattle,WA 98103,2
3,3.5,2380,1670,2,1997,Seattle,WA 98118,2
3,2.5,1900,1900,2,1990,Kirkland,WA 98033,3
4,2.5,3290,3290,2,1992,Kenmore,WA 98028,3
3,2.75,2100,1510,2,1998,Snoqualmie Pass,WA 98068,3
3,1,1450,950,1,1948,Seattle,WA 98118,3
4,2.5,1900,1900,2,1994,Issaquah,WA 98029,3
3,1.75,1300,1300,1,1983,Redmond,WA 98053,3
3,2.25,2020,2020,2,1998,Kirkland,WA 98033,3
3,3,1960,1600,2,2007,Issaquah,WA 98029,3
3,2.5,2540,2540,2,1999,Kirkland,WA 98034,3
4,2.5,2910,2910,2,1998,Snoqualmie,WA 98065,3
3,2.25,2230,2230,2,1987,Bellevue,WA 98007,3
4,2.5,2360,2360,2,2001,Kirkland,WA 98034,3
4,2.75,2450,2450,2,1988,Newcastle,WA 98059,3
4,2.5,2630,2630,2,1986,Woodinville,WA 98072,3
4,2.25,2750,1500,1,1948,Seattle,WA 98118,3
4,3.5,2350,1670,2,1994,Kirkland,WA 98033,3
4,2.5,2340,1590,1,1964,Shoreline,WA 98177,3
4,2.75,2550,1700,1,1972,Kirkland,WA 98033,3
4,2.5,3010,3010,2,1996,Redmond,WA 98053,3
4,3.25,2780,2780,2,2006,Seattle,WA 98133,4
3,2.5,2020,2020,3,2000,Seattle,WA 98103,4
4,2.75,2830,2830,2,1998,Sammamish,WA 98075,4
4,2.75,3488,3488,2,1998,Redmond,WA 98074,4
5,3,2876,1970,1,1973,Mercer Island,WA 98040,4
5,3.75,5330,3570,2,2006,Issaquah,WA 98027,4
4,3.25,2790,1130,1,1963,Shoreline,WA 98177,4
5,4,4850,4850,2,1977,Bellevue,WA 98005,4
4,2.75,2290,2170,2,1926,Seattle,WA 98115,4
3,4,3880,3700,2,2009,Kirkland,WA 98034,4
4,3.25,3810,2680,1,2007,Kirkland,WA 98033,4
3,2.25,2760,2760,2,1978,Bellevue,WA 98005,4
3,2.5,4460,4460,2,1992,Kirkland,WA 98033,4
2,1,820,820,1,1954,Seattle,WA 98168,1
2,2.5,1160,1160,2,1998,Seattle,WA 98106,1
4,1.5,1740,1020,1,1962,SeaTac,WA 98168,1
2,1,1400,900,1,1922,Renton,WA 98057,1
3,1,870,870,1,1969,Covington,WA 98042,1
3,1,910,910,1,1956,Seattle,WA 98146,1
2,1,740,740,1,1938,Seattle,WA 98146,1
4,2.25,1720,1720,1,1973,Federal Way,WA 98023,1
4,2,1580,1040,1,1967,Federal Way,WA 98003,1
2,1,940,940,1,1959,Burien,WA 98166,1
4,2.75,2570,1720,2,1998,Auburn,WA 98092,1
3,2.5,1550,1550,2,2011,Auburn,WA 98002,1
2,1.5,840,840,2,2005,Seattle,WA 98115,1
1,0.75,1170,880,1,1962,Enumclaw,WA 98022,1
4,2,980,980,1,1978,North Bend,WA 98045,1
5,2.5,2760,2760,2,2006,Seattle,WA 98108,2
6,2,2040,2040,1,1943,Renton,WA 98056,2
4,1.75,2200,1400,1.5,1942,Seattle,WA 98168,2
3,1.5,2320,2320,1,1976,Duvall,WA 98019,2
2,1,1070,1070,1,1949,Seattle,WA 98178,2
3,2,1110,1110,1,1978,North Bend,WA 98045,2
3,2.25,998,798,2,2007,Seattle,WA 98117,2
3,2.25,1347,1347,3,2010,Seattle,WA 98125,2
3,2.5,1750,1750,2,1994,Renton,WA 98055,2
4,3.5,3150,3150,2,2005,Kent,WA 98042,2
3,1,1070,1070,1,1951,Seattle,WA 98125,2
4,2.5,1980,1980,2,1988,Federal Way,WA 98023,2
3,1,1220,1220,1,1966,Kirkland,WA 98034,2
4,2.5,2052,2052,2,2014,Federal Way,WA 98003,2
2,1,1060,1060,2,1979,Seattle,WA 98144,2
3,2.25,1280,1280,3,2005,Seattle,WA 98103,2
2,1.75,1060,1060,1,1977,Woodinville,WA 98072,2
3,1.5,1360,1360,3,2008,Seattle,WA 98103,2
3,1,1100,1100,1.5,1922,Des Moines,WA 98198,2
5,3.5,2420,2420,2,2013,Seattle,WA 98118,2
2,2.5,1230,1060,2,2011,Seattle,WA 98144,2
3,1,1250,1250,1,1956,Bellevue,WA 98008,2
4,2.5,3140,3140,2,1991,Federal Way,WA 98023,2
3,1,1040,1040,1,1942,Seattle,WA 98136,2
3,2.25,1950,1950,1,2006,SeaTac,WA 98188,2
4,3,3220,2450,2,1990,Kent,WA 98031,2
2,2.5,1520,1240,2,2007,Seattle,WA 98144,2
3,3.5,1900,1430,2,2008,Seattle,WA 98136,2
3,2.75,2200,1100,1,1982,Redmond,WA 98053,2
3,2.25,1470,1090,2,2007,Seattle,WA 98136,2
3,2.25,1820,1240,1,1981,Redmond,WA 98052,2
4,2.25,3250,3250,2,1983,Kent,WA 98042,2
5,2.25,2230,1320,1,1978,Woodinville,WA 98077,2
4,2,1640,1640,2,1907,Seattle,WA 98107,2
2,1.75,1560,780,1,1904,Seattle,WA 98109,2
2,1.75,2860,1510,1,1948,Federal Way,WA 98023,3
4,2.25,2350,1430,1,1977,Bellevue,WA 98006,3
4,1.75,3000,1500,1,1950,Renton,WA 98056,3
4,3,2170,1370,1,1968,Redmond,WA 98052,3
3,1.75,1650,1040,1,1908,Seattle,WA 98115,3
4,2.75,2750,1720,1,1981,Des Moines,WA 98198,3
4,2.5,2980,2980,2,2000,Snoqualmie,WA 98065,3
3,1.75,2060,1350,1,1984,Redmond,WA 98052,3
4,2.5,3240,1860,1,1977,Sammamish,WA 98074,3
4,1.75,2260,1130,1,1947,Kirkland,WA 98033,3
4,2.5,2860,2860,2,1999,Sammamish,WA 98075,3
4,1.75,2740,1370,1,1954,Seattle,WA 98118,3
3,2.5,2670,2670,2,1989,Sammamish,WA 98074,3
3,2.5,2450,2450,2,2010,Redmond,WA 98053,3
4,2.5,2600,2600,2,1996,Newcastle,WA 98059,3
3,2,2000,1100,1,1916,Seattle,WA 98103,3
4,2.5,2930,2930,2,1998,Sammamish,WA 98075,4
4,2.5,2350,2350,2,1987,Bellevue,WA 98006,4
4,2.75,2410,1410,1,1950,Seattle,WA 98107,4
4,3.25,3090,3090,2,2013,Shoreline,WA 98177,4
4,3.25,3340,2240,1.5,1963,Redmond,WA 98052,4
4,3,4260,4260,2,1996,Sammamish,WA 98075,4
4,3.25,3440,3440,2,1983,Kirkland,WA 98033,4
4,2.5,3030,3030,1.5,1988,Bellevue,WA 98004,4
4,3.75,3860,3860,2.5,2007,Issaquah,WA 98029,4
4,3,3600,2100,1,1976,Bellevue,WA 98008,4
3,2.75,2890,2830,2,1987,Kirkland,WA 98033,4
1,0.75,430,430,1,1912,Carnation,WA 98014,1
2,1,580,580,1,1943,Seattle,WA 98178,1
3,1,1080,1080,1,1967,Auburn,WA 98001,1
2,1,1300,1300,1,1958,Auburn,WA 98001,1
4,1,1350,1350,1,1966,Renton,WA 98055,1
3,1,960,960,1,1982,Enumclaw,WA 98022,1
2,1,1300,1300,1.5,1975,Ravensdale,WA 98051,1
4,2.5,1810,1230,1,1970,Kent,WA 98042,1
2,1,1140,1010,1.5,2007,Seattle,WA 98126,1
4,1,1450,1450,1,1943,Seattle,WA 98146,1
3,2,1490,1490,1.5,1984,Kent,WA 98031,1
3,1.75,1620,1310,1,1988,Maple Valley,WA 98038,1
4,2.5,1960,1960,2,2001,Kent,WA 98030,1
4,1.5,1930,1930,2,1979,Federal Way,WA 98003,1
2,1,1340,1340,1,1947,Seattle,WA 98178,2
2,1,780,780,1,1946,Woodinville,WA 98077,2
3,1,1920,1120,1,1952,Seattle,WA 98118,2
4,2.5,2210,1410,1,1965,Seattle,WA 98178,2
4,2.5,1750,1240,1,1983,Renton,WA 98058,2
3,1,1010,1010,1,1947,Shoreline,WA 98155,2
3,2,1220,1220,3,2007,Seattle,WA 98103,2
3,2,1270,1270,3,2006,Seattle,WA 98103,2
5,1.75,2120,1320,1,1942,Shoreline,WA 98133,2
3,1,1800,1200,1,1942,Seattle,WA 98126,2
4,2.5,2440,2440,2,1993,Renton,WA 98058,2
3,1.75,2420,2420,2,1911,North Bend,WA 98045,2
3,2,1540,1540,2,2005,Issaquah,WA 98029,2
3,2,1650,1650,1.5,1983,Kirkland,WA 98034,2
3,1.5,1110,1110,1,1963,Redmond,WA 98052,2
4,1.75,1830,1010,1,1966,Bellevue,WA 98006,2
4,2.5,2380,2380,2,2002,Renton,WA 98059,2
4,2.5,2560,1280,1,1965,Issaquah,WA 98027,2
3,2,1630,1630,1,1987,Renton,WA 98056,2
3,2,1560,1560,2,1923,Seattle,WA 98115,2
3,1,1670,1170,1.5,1939,Seattle,WA 98117,2
3,1.75,1300,820,1,1919,Seattle,WA 98115,2
3,1.75,1120,1120,1.5,1925,Seattle,WA 98136,2
4,2.75,2430,2430,1,1967,Woodinville,WA 98072,2
3,1.75,1620,1190,1,1973,Redmond,WA 98052,2
3,2.25,1670,1220,2,2002,Seattle,WA 98199,3
2,1,1680,1140,1,1941,Seattle,WA 98136,3
3,1.75,1680,960,1,1992,Seattle,WA 98115,3
4,1.75,1814,944,1,1951,Seattle,WA 98115,3
3,2.5,2210,2210,2,1994,Redmond,WA 98052,3
4,3,2830,2830,2,1987,Auburn,WA 98092,3
3,2.5,2510,2510,2,1992,Renton,WA 98056,3
3,2,1830,1830,1,1959,Bellevue,WA 98006,3
3,1,1430,1080,1,1919,Seattle,WA 98115,3
4,2,3510,2210,1,1965,Burien,WA 98166,3
5,2.5,3840,3840,2,1991,Federal Way,WA 98023,3
3,2.5,1620,1470,3,2008,Seattle,WA 98103,3
3,2,1670,1670,1.5,1931,Seattle,WA 98117,3
3,2.75,1960,1410,1.5,1926,Seattle,WA 98103,3
3,1,1500,1000,1,1947,Seattle,WA 98107,3
3,2.5,2600,2600,1,1984,Sammamish,WA 98074,3
4,2.75,2250,1200,1,1951,Seattle,WA 98109,3
4,4,2290,1690,1.5,1940,Seattle,WA 98116,3
3,2.75,1800,1320,1,1966,Bellevue,WA 98006,3
4,2,1590,1590,1,1951,Seattle,WA 98102,3
4,2.5,2560,2560,2,1987,Sammamish,WA 98075,3
3,2.5,2390,2390,2,1984,Redmond,WA 98052,4
4,2.5,2380,2380,2,1991,Bellevue,WA 98006,4
4,2.75,3500,3500,2,2005,Redmond,WA 98053,4
4,2.25,2530,1570,1,1976,Bellevue,WA 98006,4
4,2,2840,1420,1,1952,Clyde Hill,WA 98004,4
5,3.25,3400,3400,2,1999,Bellevue,WA 98007,4
4,3,3680,2060,1,1967,Seattle,WA 98199,4
3,4,4380,4380,2,1983,Redmond,WA 98052,4
4,3.5,4740,4740,2,2003,Redmond,WA 98053,4
4,3,3370,1860,1,1988,Seattle,WA 98117,4
4,3.5,4390,3060,2,1990,Mercer Island,WA 98040,4
2,1,720,720,1,1943,Renton,WA 98058,1
3,1.75,1260,1260,1,1994,Maple Valley,WA 98038,1
4,1.5,2670,2670,2,1996,Auburn,WA 98092,2
4,1.75,1960,1340,1,1979,North Bend,WA 98045,2
3,2.5,2460,2460,2,2007,Snoqualmie,WA 98065,2
3,1,1370,1370,1.5,1924,Seattle,WA 98103,2
3,2.5,1740,1740,2,1989,Issaquah,WA 98029,2
4,2.5,3670,3670,2,2005,Sammamish,WA 98075,4
4,4.25,5584,5584,2,1998,Carnation,WA 98014,4
3,1.75,1570,1570,1,1991,Enumclaw,WA 98022,1
3,2.5,1560,1560,2,2003,Maple Valley,WA 98038,1
4,3.5,2630,1640,1.5,1984,SeaTac,WA 98188,2
3,2.5,1620,1620,1,1955,Shoreline,WA 98133,2
3,3,2980,1820,1,1981,Redmond,WA 98052,3
3,1,1140,1140,1,1972,Auburn,WA 98001,1
3,1,1140,1140,1,1960,Seattle,WA 98106,1
4,2.5,2100,2100,2,2009,Renton,WA 98058,2
3,2.5,1780,1780,2,2001,Shoreline,WA 98155,2
3,1.5,1690,1140,1,1956,Kenmore,WA 98028,2
2,1.5,2730,1570,1,1976,Duvall,WA 98019,2
4,2.5,2700,2700,2,2004,Redmond,WA 98052,3
3,2,2130,2130,1,1989,Woodinville,WA 98072,4
2,1,1180,1180,1,1918,Seattle,WA 98178,1
3,1,910,910,1,1971,Burien,WA 98166,1
3,1,960,960,1,1955,Shoreline,WA 98155,1
3,2,1630,1630,1,2003,Pacific,WA 98047,1
3,2.5,1658,1658,2,2014,Des Moines,WA 98198,1
3,2.5,1440,1000,1,1983,Kent,WA 98031,1
4,2,1930,1030,1,1967,Burien,WA 98168,1
3,1.75,1670,1320,1,1987,Covington,WA 98042,1
3,1,1200,920,1,1943,Seattle,WA 98168,1
3,2.5,1680,1240,1,1994,Kent,WA 98031,1
4,2.5,1982,1982,2,2004,Kent,WA 98030,1
5,3,2840,1710,1,2003,Tukwila,WA 98178,1
5,1,1410,960,1,1955,Des Moines,WA 98198,1
3,1,900,900,1,1972,Kirkland,WA 98034,2
4,1,2100,1050,1,1968,Renton,WA 98058,2
3,1.5,1255,1255,3,2004,Seattle,WA 98125,2
4,2.5,1630,1630,2,2003,Maple Valley,WA 98038,2
3,1.75,1320,1320,1,1948,Shoreline,WA 98133,2
3,1.75,1780,1780,1,1983,Kent,WA 98042,2
2,1,880,880,1,1942,Seattle,WA 98177,2
3,1,1810,1810,2,1970,Woodinville,WA 98072,2
4,2.5,1720,1120,1,1961,Auburn,WA 98092,2
3,1,1600,1150,1,1964,Seattle,WA 98106,2
4,2,2330,1400,1,1941,Kent,WA 98030,2
2,1.5,1180,990,2,2005,Seattle,WA 98144,2
4,2.25,1810,1810,2,2003,Renton,WA 98059,2
3,1,1570,1570,1,1954,Shoreline,WA 98177,2
3,1,1050,1050,1.5,1954,Seattle,WA 98125,2
2,2.25,1280,1080,2,2009,Seattle,WA 98118,2
3,1.5,2000,1520,1,1965,Seattle,WA 98118,2
3,1.75,1440,1440,1,1973,Kirkland,WA 98034,2
5,2,2330,1190,1,1962,Kenmore,WA 98028,2
4,2.5,2870,2540,2,1979,Renton,WA 98058,2
3,3,1296,1296,3,2009,Seattle,WA 98125,2
2,1,1470,1470,1,1940,Seattle,WA 98115,2
3,1.75,1980,1310,1,1949,Shoreline,WA 98133,2
2,1,910,910,1,1942,Seattle,WA 98115,2
3,2.25,1950,1350,1,1964,Shoreline,WA 98155,2
5,1.5,1900,1130,1,1961,Kirkland,WA 98034,2
3,2.5,1870,1870,2,2003,Bothell,WA 98011,2
3,1,1270,1270,1.5,1928,Seattle,WA 98126,2
3,1.75,1650,1650,1,1961,Kenmore,WA 98028,2
4,2.5,2520,2520,2,1999,Duvall,WA 98019,2
4,3.25,2510,2510,2,2009,Renton,WA 98056,2
3,2,1460,1460,1,1975,Redmond,WA 98052,2
3,2.5,2420,2420,2,1998,Snoqualmie,WA 98065,2
3,1.75,1840,1050,1,1925,Seattle,WA 98108,2
3,3.5,1600,1240,2,2006,Seattle,WA 98117,2
3,2,1560,1560,1,1967,Kirkland,WA 98034,2
2,1,1160,860,1,1942,Seattle,WA 98115,2
4,2.75,1720,1720,2,1978,Seattle,WA 98118,2
3,1,1150,1150,1,1943,Seattle,WA 98126,2
3,2.5,1590,1590,3,1985,Seattle,WA 98117,2
4,2.25,1940,1430,1,1956,Bellevue,WA 98007,2
3,2.5,1750,1750,3,2013,Seattle,WA 98118,2
3,3.5,1820,1430,2,2014,Seattle,WA 98144,2
3,2.25,1760,1760,2,1988,Issaquah,WA 98029,3
4,2.5,3200,3200,2,2005,Renton,WA 98059,3
5,3,2750,1750,1.5,1926,Seattle,WA 98115,3
4,2.5,2340,2340,2,1921,Seattle,WA 98146,3
4,4.25,1960,1960,2,1940,Seattle,WA 98116,3
5,4.5,4850,4850,2,2001,Federal Way,WA 98023,3
3,1.75,1930,1930,1,1977,Woodinville,WA 98072,3
3,1.75,1850,1850,1,1983,Issaquah,WA 98027,3
3,3.5,2710,1650,2,2005,Issaquah,WA 98027,3
4,2.5,2740,2740,2,1990,Sammamish,WA 98075,3
3,2.5,2540,2540,2,1940,Seattle,WA 98177,3
3,2.5,2810,2810,2,2001,Bellevue,WA 98006,3
4,3,3000,1970,1.5,1913,Seattle,WA 98144,3
2,2.5,2160,2160,1,2002,Redmond,WA 98053,4
3,1.5,2500,1450,1.5,1940,Seattle,WA 98107,4
3,2.5,2330,1410,2,2004,Seattle,WA 98107,4
5,2.75,3390,3390,2,2004,Sammamish,WA 98075,4
2,2,1880,1880,1.5,1902,Seattle,WA 98112,4
3,2.5,2610,2610,2,2014,Kirkland,WA 98033,4
4,2.5,3330,3330,2,2009,Redmond,WA 98052,4
3,3,2520,1560,1.5,1925,Seattle,WA 98119,4
4,2.5,2680,1380,1,1952,Kirkland,WA 98033,4
4,2.5,1850,1430,1,1978,Redmond,WA 98052,4
4,3,3720,3720,2,1991,Kirkland,WA 98033,4
5,4,3720,3720,2,2005,Sammamish,WA 98075,4
3,3.75,3250,2370,2,1951,Seattle,WA 98199,4
5,3,3480,3480,2,1964,Mercer Island,WA 98040,4
3,2.25,2510,1810,1.5,1932,Seattle,WA 98199,4
4,2.5,2920,1470,1,1921,Seattle,WA 98144,4
4,3,5940,4950,2,2004,Snoqualmie,WA 98065,4
3,3.25,3790,3790,2,1985,Seattle,WA 98177,4
5,4.5,4590,4590,2,2009,Kirkland,WA 98033,4
2,1,780,780,1,1948,Auburn,WA 98002,1
2,1,720,720,1,1942,Renton,WA 98056,1
3,1,820,820,1.5,1910,Seattle,WA 98106,1
2,1,740,740,1,1949,Kent,WA 98031,1
3,1,1100,1100,1,1969,Covington,WA 98042,1
2,1,830,830,1,1996,Maple Valley,WA 98038,1
3,1.5,1430,1430,1,1953,Burien,WA 98166,1
2,2,1390,1390,2,1986,Federal Way,WA 98003,1
2,2,1700,850,1,1927,Auburn,WA 98002,1
2,1.5,880,880,2,2007,Seattle,WA 98126,1
2,1,1320,1320,1,1943,Burien,WA 98168,1
3,1.75,1210,1210,1,1983,Pacific,WA 98047,1
3,1.5,1560,1040,1,1964,Auburn,WA 98001,1
3,2,2030,1220,1,1979,Auburn,WA 98001,1
3,2.5,1680,1680,2,1994,Auburn,WA 98092,1
4,2.25,1830,1200,1,1989,Federal Way,WA 98023,1
3,1.75,1310,1310,1,1979,SeaTac,WA 98198,1
3,2.5,2060,2060,2,1999,Kent,WA 98032,1
3,1.75,1300,1300,1,1996,Auburn,WA 98092,1
3,2,1400,1400,1,1968,Federal Way,WA 98003,1
3,2,1480,1480,1,1992,Maple Valley,WA 98038,1
2,1,1060,1060,1,1952,Shoreline,WA 98133,1
3,1.5,1430,1430,1,1966,Renton,WA 98059,1
3,2.5,2495,2495,2,2007,Federal Way,WA 98001,1
3,1.75,1300,650,1,1918,Seattle,WA 98106,1
4,1,1450,990,1,1964,Seattle,WA 98146,1
3,1,1180,1180,1.5,1946,Shoreline,WA 98155,1
2,1,800,800,1,1954,Seattle,WA 98125,1
3,1,1390,1390,1.5,1954,Shoreline,WA 98155,1
3,1,1160,1160,1,1968,Woodinville,WA 98077,2
3,2.5,1680,1680,2,1984,Renton,WA 98058,2
3,1,1430,1430,1.5,1927,Kenmore,WA 98028,2
2,2.5,1050,1050,2,2005,Seattle,WA 98144,2
3,2.75,1720,1720,1,1958,Renton,WA 98058,2
4,2,1480,740,1,1910,Seattle,WA 98108,2
3,2.25,2180,2180,2,1986,Sammamish,WA 98074,2
2,1,1080,1080,1,1940,Seattle,WA 98117,2
3,2.5,2400,2400,1,1990,Federal Way,WA 98023,2
2,1,1270,960,1,1920,Seattle,WA 98103,2
4,2.5,3753,3336,2,2008,Federal Way,WA 98023,2
3,1.5,1300,1300,1,1963,Kenmore,WA 98028,2
3,2,1660,1660,1,1949,Seattle,WA 98136,2
3,2.5,2250,2250,2,2006,Renton,WA 98059,2
3,1.75,1820,1250,1,1977,Redmond,WA 98053,2
4,2.75,1680,1080,1,1979,Kenmore,WA 98028,2
2,1.75,1350,1350,1,2005,Redmond,WA 98053,2
3,3.75,3890,2390,1,1943,Seattle,WA 98178,2
3,1.75,1980,1270,1,1965,Seattle,WA 98103,2
4,3,4260,4260,2,2000,Mercer Island,WA 98040,2
3,1.75,1610,1610,1,1947,Seattle,WA 98125,2
3,1,1100,1100,1,1917,Seattle,WA 98116,2
3,2,1300,900,1,1993,Seattle,WA 98118,2
4,3,2230,2230,2,1991,Kent,WA 98030,2
6,3.25,4250,2150,1,1967,Federal Way,WA 98003,2
3,2.25,1840,1840,2,2003,Kirkland,WA 98034,2
2,3.25,1400,1400,3,2000,Seattle,WA 98103,2
3,2,1980,1980,1,1994,Kent,WA 98042,2
4,2.5,2360,2360,2,2003,Woodinville,WA 98072,2
4,2.5,2798,2798,2,2012,Renton,WA 98055,2
4,1.5,2040,1020,1,1961,Bellevue,WA 98007,3
3,1.75,1400,870,1,1951,Seattle,WA 98117,3
4,2.5,2680,2680,2,2004,Snoqualmie,WA 98065,3
2,1.75,2050,2050,1,1950,Bellevue,WA 98004,3
3,2.5,1720,1720,2,1994,Issaquah,WA 98029,3
3,2.5,1550,1550,2,1999,Kirkland,WA 98033,3
4,2.5,2230,1450,1,1974,Issaquah,WA 98075,3
4,1,1660,930,1,1933,Redmond,WA 98052,3
3,2.5,3160,2650,2,2006,Bothell,WA 98011,3
7,4.5,4140,2070,1,1978,Seattle,WA 98125,3
5,2,1940,970,1,1945,Seattle,WA 98115,3
3,2,1650,1650,2,1926,Seattle,WA 98116,3
4,2.75,2020,1010,1,1917,Seattle,WA 98122,3
4,2,2510,2510,1,1960,Kirkland,WA 98034,3
3,1.75,1580,1150,1,1967,Bellevue,WA 98005,3
4,2.5,2740,2740,2,1993,Woodinville,WA 98077,3
3,2.5,2300,2000,1.5,1921,Seattle,WA 98144,3
4,2.5,2990,2990,2,2003,Sammamish,WA 98074,3
3,2.5,2190,2190,2,1987,Sammamish,WA 98074,3
3,1,1700,1700,1.5,1907,Seattle,WA 98118,3
4,2.5,3150,3150,2,2006,Renton,WA 98056,3
4,3.5,4490,3390,2,2006,Snoqualmie,WA 98065,3
2,1.75,2320,1720,1.5,1925,Seattle,WA 98144,4
3,2.5,2810,2810,2,2005,Redmond,WA 98052,4
4,2.25,2920,2920,2,1998,Fall City,WA 98024,4
2,1.75,2080,1080,1,1923,Seattle,WA 98117,4
4,3.5,3910,3130,2,2007,Issaquah,WA 98029,4
4,2.25,2000,2000,2,2001,Seattle,WA 98115,4
3,2.5,2510,2510,2,1995,Seattle,WA 98136,4
4,2.5,3420,3420,2,2000,Sammamish,WA 98074,4
4,2.75,3040,2100,2,1906,Seattle,WA 98102,4
3,2,2520,1410,1.5,1906,Seattle,WA 98119,4
3,2.75,2280,1280,1,1917,Seattle,WA 98103,4
5,1.5,2680,1450,1,1963,Bellevue,WA 98004,4
6,2.75,2300,2300,1.5,1950,Mercer Island,WA 98040,4
3,2.5,2690,1840,2,1943,Seattle,WA 98115,4
4,2.25,2410,1800,2,1929,Seattle,WA 98117,4
6,2.75,3610,2070,1,1959,Sammamish,WA 98075,4
7,4,3150,3150,1,1957,Bellevue,WA 98007,4
4,2.75,3650,2530,2,1951,Seattle,WA 98115,4
4,2.5,3240,2260,1,1946,Seattle,WA 98105,4
4,3.25,4700,2520,1,2005,Seattle,WA 98116,4
3,1,1010,1010,1,1954,SeaTac,WA 98168,1
3,1,1250,1030,1,1949,Seattle,WA 98108,1
2,1,1500,880,1.5,1928,Renton,WA 98057,1
3,1.75,1590,1590,2,1986,Des Moines,WA 98198,1
