city,number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,total cost
Snoqualmie,4,2.5,3550,3550,2.0,2007,624999.9998
Redmond,4,2.5,2150,2150,2.0,1982,639000.0
Normandy Park,4,3.0,2690,2690,1.0,1954,674999.9999
Redmond,3,2.25,1990,1990,2.0,1987,675000.0
Seattle,4,2.5,2650,2650,2.0,2006,699000.0
Sammamish,4,2.5,3230,3230,2.0,2004,730000.0
Bellevue,3,2.5,2770,2770,2.0,1992,749950.0
Seattle,6,2.0,2150,1270,1.0,1952,755000.0
Bellevue,4,1.75,2450,1630,1.0,1987,760000.0
Redmond,4,2.25,2560,1760,1.0,1976,765000.0
Issaquah,4,3.5,3070,2190,2.0,2009,785000.0
Kirkland,4,2.75,3160,3160,2.0,2014,860000.0
Seattle,4,2.25,3500,1830,1.0,1938,879949.9999
Kirkland,4,2.25,2260,2260,1.0,1967,924999.9998
Seattle,4,3.5,3120,2480,2.0,2008,953006.9999
Seattle,4,2.75,2620,1720,1.5,1926,978000.0
Seattle,3,2.0,2390,2390,2.0,1939,1100000.0
Seattle,6,3.0,2880,2180,2.0,1919,1125000.0
Bellevue,4,3.5,4560,2230,1.0,1995,1212500.0
Redmond,4,3.5,4380,4380,1.0,2001,1300000.0
Medina,4,3.5,4460,2550,1.0,1962,1800000.0
Carnation,3,1.0,1010,1010,1.0,1966,150000.0
Des Moines,2,1.75,1100,1100,1.0,1980,189650.0
Covington,3,1.75,1380,990,1.0,1981,195000.0
Des Moines,2,1.0,1080,1080,1.0,1972,195000.0
Seattle,3,1.0,1240,1240,1.0,1916,210000.0
Seattle,3,1.0,1020,1020,1.0,1956,218000.0
Pacific,4,2.5,2160,2160,2.0,1993,220000.0001
Enumclaw,3,1.0,1060,1060,1.0,1956,220000.0
Seattle,5,2.0,1930,1930,1.5,1941,230000.0
SeaTac,2,1.75,1330,1330,1.0,1993,240000.0
Seattle,3,1.5,1780,1780,1.0,1953,246000.0001
Seattle,2,1.0,1140,1140,1.0,1947,249900.0
Auburn,3,2.0,1170,1170,1.0,1984,250000.0
Renton,3,1.5,1060,1060,1.0,1973,255000.0
Kent,3,2.5,1990,1570,1.0,1969,256750.0
Auburn,6,2.0,2220,2220,1.0,1977,260000.0001
Seattle,4,1.0,1310,1160,1.5,1945,266066.6667
Seattle,3,1.75,1390,860,1.0,1957,270000.0001
Maple Valley,3,2.5,2030,2030,2.0,1993,274999.9999
Seattle,3,1.75,2380,1320,1.5,1935,285000.0
Renton,3,2.25,1870,1870,2.0,1997,288400.0
Seattle,2,1.0,790,790,1.0,1925,299800.0
Auburn,3,2.5,2720,2720,2.0,2002,299900.0
Seattle,2,1.0,970,970,1.0,1949,300000.0
Federal Way,4,2.25,2000,2000,1.0,1978,318989.0
Seattle,3,1.0,990,990,1.0,1947,325000.0
Woodinville,3,1.0,1250,1250,1.0,1969,330000.0001
Maple Valley,3,2.25,1800,1800,2.0,1995,332500.0
Seattle,4,2.5,2220,2220,2.0,2014,334990.0
Renton,4,2.75,1800,1050,1.0,2002,344500.0
Kirkland,3,1.5,980,980,1.0,1969,350000.0
Seattle,3,2.5,1530,1530,3.0,2009,360000.0001
Sammamish,3,2.5,2150,2150,2.0,1988,368250.0
Kirkland,3,1.75,2000,2000,1.0,1961,374000.0
Bothell,3,2.0,1540,1120,1.0,1961,385500.0
Issaquah,3,2.25,1445,1300,2.0,2003,389999.0
Issaquah,3,1.75,1540,1540,1.0,1967,396450.0
Des Moines,3,1.75,2470,1570,1.0,1962,405000.0
Redmond,3,2.0,1440,1440,1.0,2007,413800.0
Carnation,1,1.0,960,960,1.0,1945,420850.0
Shoreline,3,2.75,2550,2550,2.0,1994,430000.0
Seattle,3,1.0,1150,1150,1.0,1906,430000.0
Sammamish,4,2.25,2080,1220,1.0,1979,442000.0001
Seattle,2,1.0,1200,1070,1.0,1940,450000.0
Seattle,4,2.0,1660,850,1.0,1945,451999.9999
Seattle,4,2.0,1790,840,1.0,1909,474999.9999
Seattle,3,3.5,2380,1670,2.0,1997,495000.0001
Kirkland,3,2.5,1900,1900,2.0,1990,512499.9999
Kenmore,4,2.5,3290,3290,2.0,1992,520000.0
Snoqualmie Pass,3,2.75,2100,1510,2.0,1998,525000.0
Seattle,3,1.0,1450,950,1.0,1948,525000.0
Issaquah,4,2.5,1900,1900,2.0,1994,535800.0
Redmond,3,1.75,1300,1300,1.0,1983,539999.9999
Kirkland,3,2.25,2020,2020,2.0,1998,556000.0
Issaquah,3,3.0,1960,1600,2.0,2007,556000.0
Kirkland,3,2.5,2540,2540,2.0,1999,567000.0001
Snoqualmie,4,2.5,2910,2910,2.0,1998,589000.0001
Bellevue,3,2.25,2230,2230,2.0,1987,599999.9999
Kirkland,4,2.5,2360,2360,2.0,2001,600000.0001
Newcastle,4,2.75,2450,2450,2.0,1988,619420.0001
Woodinville,4,2.5,2630,2630,2.0,1986,625000.0001
Seattle,4,2.25,2750,1500,1.0,1948,635000.0
Kirkland,4,3.5,2350,1670,2.0,1994,655000.0001
Shoreline,4,2.5,2340,1590,1.0,1964,668750.0001
Kirkland,4,2.75,2550,1700,1.0,1972,691000.0
Redmond,4,2.5,3010,3010,2.0,1996,699999.9999
Seattle,4,3.25,2780,2780,2.0,2006,700000.0
Seattle,3,2.5,2020,2020,3.0,2000,720000.0
Sammamish,4,2.75,2830,2830,2.0,1998,743999.9999
Redmond,4,2.75,3488,3488,2.0,1998,814999.9999
Mercer Island,5,3.0,2876,1970,1.0,1973,895000.0
Issaquah,5,3.75,5330,3570,2.0,2006,949999.9999
Shoreline,4,3.25,2790,1130,1.0,1963,969999.9999
Bellevue,5,4.0,4850,4850,2.0,1977,975000.0002
Seattle,4,2.75,2290,2170,2.0,1926,1003000.0
Kirkland,3,4.0,3880,3700,2.0,2009,1030000.0
Kirkland,4,3.25,3810,2680,1.0,2007,1130000.0
Bellevue,3,2.25,2760,2760,2.0,1978,1185000.0
Kirkland,3,2.5,4460,4460,2.0,1992,1550000.0
Seattle,2,1.0,820,820,1.0,1954,149999.9999
Seattle,2,2.5,1160,1160,2.0,1998,168000.0
SeaTac,4,1.5,1740,1020,1.0,1962,180000.0
Renton,2,1.0,1400,900,1.0,1922,180000.0
Covington,3,1.0,870,870,1.0,1969,180000.0
Seattle,3,1.0,910,910,1.0,1956,219900.0
Seattle,2,1.0,740,740,1.0,1938,235750.0
Federal Way,4,2.25,1720,1720,1.0,1973,240015.3333
Federal Way,4,2.0,1580,1040,1.0,1967,245000.0
Burien,2,1.0,940,940,1.0,1959,249950.0
Auburn,4,2.75,2570,1720,2.0,1998,254500.0
Auburn,3,2.5,1550,1550,2.0,2011,259000.0
Seattle,2,1.5,840,840,2.0,2005,270000.0
Enumclaw,1,0.75,1170,880,1.0,1962,275000.0001
North Bend,4,2.0,980,980,1.0,1978,295000.0
Seattle,5,2.5,2760,2760,2.0,2006,300000.0
Renton,6,2.0,2040,2040,1.0,1943,300000.0
Seattle,4,1.75,2200,1400,1.5,1942,305000.0
Duvall,3,1.5,2320,2320,1.0,1976,307000.0
Seattle,2,1.0,1070,1070,1.0,1949,319950.0
North Bend,3,2.0,1110,1110,1.0,1978,320000.0
Seattle,3,2.25,998,798,2.0,2007,320000.0
Seattle,3,2.25,1347,1347,3.0,2010,321000.0
Renton,3,2.5,1750,1750,2.0,1994,324000.0
Kent,4,3.5,3150,3150,2.0,2005,330000.0
Seattle,3,1.0,1070,1070,1.0,1951,337000.0
Federal Way,4,2.5,1980,1980,2.0,1988,342246.4286
Kirkland,3,1.0,1220,1220,1.0,1966,348580.0
Federal Way,4,2.5,2052,2052,2.0,2014,349900.0
Seattle,2,1.0,1060,1060,2.0,1979,353250.0
Seattle,3,2.25,1280,1280,3.0,2005,355000.0
Woodinville,2,1.75,1060,1060,1.0,1977,356000.0
Seattle,3,1.5,1360,1360,3.0,2008,359000.0
Des Moines,3,1.0,1100,1100,1.5,1922,360999.9999
Seattle,5,3.5,2420,2420,2.0,2013,380000.0001
Seattle,2,2.5,1230,1060,2.0,2011,380000.0
Bellevue,3,1.0,1250,1250,1.0,1956,385000.0
Federal Way,4,2.5,3140,3140,2.0,1991,389950.0
Seattle,3,1.0,1040,1040,1.0,1942,400000.0
SeaTac,3,2.25,1950,1950,1.0,2006,407999.9999
Kent,4,3.0,3220,2450,2.0,1990,430000.0
Seattle,2,2.5,1520,1240,2.0,2007,430000.0
Seattle,3,3.5,1900,1430,2.0,2008,431499.9999
Redmond,3,2.75,2200,1100,1.0,1982,432000.0
Seattle,3,2.25,1470,1090,2.0,2007,432000.0
Redmond,3,2.25,1820,1240,1.0,1981,475000.0001
Kent,4,2.25,3250,3250,2.0,1983,480000.0002
Woodinville,5,2.25,2230,1320,1.0,1978,481999.9999
Seattle,4,2.0,1640,1640,2.0,1907,492000.0
Seattle,2,1.75,1560,780,1.0,1904,494400.0001
Federal Way,2,1.75,2860,1510,1.0,1948,503000.0
Bellevue,4,2.25,2350,1430,1.0,1977,555000.0
Renton,4,1.75,3000,1500,1.0,1950,585000.0
Redmond,4,3.0,2170,1370,1.0,1968,592500.0
Seattle,3,1.75,1650,1040,1.0,1908,600000.0
Des Moines,4,2.75,2750,1720,1.0,1981,604699.9999
Snoqualmie,4,2.5,2980,2980,2.0,2000,622499.9999
Redmond,3,1.75,2060,1350,1.0,1984,625000.0
Sammamish,4,2.5,3240,1860,1.0,1977,635699.9999
Kirkland,4,1.75,2260,1130,1.0,1947,648360.0
Sammamish,4,2.5,2860,2860,2.0,1999,655000.0
Seattle,4,1.75,2740,1370,1.0,1954,657000.0
Sammamish,3,2.5,2670,2670,2.0,1989,657500.0001
Redmond,3,2.5,2450,2450,2.0,2010,660000.0001
Newcastle,4,2.5,2600,2600,2.0,1996,665000.0
Seattle,3,2.0,2000,1100,1.0,1916,677000.0001
Sammamish,4,2.5,2930,2930,2.0,1998,749000.0001
Bellevue,4,2.5,2350,2350,2.0,1987,770000.0
Seattle,4,2.75,2410,1410,1.0,1950,805000.0
Shoreline,4,3.25,3090,3090,2.0,2013,850000.0
Redmond,4,3.25,3340,2240,1.5,1963,909999.9999
Sammamish,4,3.0,4260,4260,2.0,1996,999999.9999
Kirkland,4,3.25,3440,3440,2.0,1983,1050000.0
Bellevue,4,2.5,3030,3030,1.5,1988,1050000.0
Issaquah,4,3.75,3860,3860,2.5,2007,1051000.0
Bellevue,4,3.0,3600,2100,1.0,1976,1075000.0
Kirkland,3,2.75,2890,2830,2.0,1987,1170000.0
Carnation,1,0.75,430,430,1.0,1912,79999.99999
Seattle,2,1.0,580,580,1.0,1943,90000.0
Auburn,3,1.0,1080,1080,1.0,1967,132500.0
Auburn,2,1.0,1300,1300,1.0,1958,175000.0
Renton,4,1.0,1350,1350,1.0,1966,200000.0
Enumclaw,3,1.0,960,960,1.0,1982,218000.0
Ravensdale,2,1.0,1300,1300,1.5,1975,225000.0
Kent,4,2.5,1810,1230,1.0,1970,234999.9999
Seattle,2,1.0,1140,1010,1.5,2007,235000.0
Seattle,4,1.0,1450,1450,1.0,1943,244000.0
Kent,3,2.0,1490,1490,1.5,1984,255000.0
Maple Valley,3,1.75,1620,1310,1.0,1988,258000.0
Kent,4,2.5,1960,1960,2.0,2001,259585.5714
Federal Way,4,1.5,1930,1930,2.0,1979,274999.9999
Seattle,2,1.0,1340,1340,1.0,1947,300000.0
Woodinville,2,1.0,780,780,1.0,1946,306000.0
Seattle,3,1.0,1920,1120,1.0,1952,325000.0
Seattle,4,2.5,2210,1410,1.0,1965,334000.0001
Renton,4,2.5,1750,1240,1.0,1983,335000.0
Shoreline,3,1.0,1010,1010,1.0,1947,349999.9999
Seattle,3,2.0,1220,1220,3.0,2007,355000.0
Seattle,3,2.0,1270,1270,3.0,2006,360000.0
Shoreline,5,1.75,2120,1320,1.0,1942,377691.0001
Seattle,3,1.0,1800,1200,1.0,1942,383000.0
Renton,4,2.5,2440,2440,2.0,1993,388000.0
North Bend,3,1.75,2420,2420,2.0,1911,399500.0001
Issaquah,3,2.0,1540,1540,2.0,2005,401999.9999
Kirkland,3,2.0,1650,1650,1.5,1983,410000.0
Redmond,3,1.5,1110,1110,1.0,1963,416000.0
Bellevue,4,1.75,1830,1010,1.0,1966,433000.0
Renton,4,2.5,2380,2380,2.0,2002,439950.0
Issaquah,4,2.5,2560,1280,1.0,1965,440000.0001
Renton,3,2.0,1630,1630,1.0,1987,445000.0
Seattle,3,2.0,1560,1560,2.0,1923,449950.0
Seattle,3,1.0,1670,1170,1.5,1939,460000.0001
Seattle,3,1.75,1300,820,1.0,1919,462000.0
Seattle,3,1.75,1120,1120,1.5,1925,464600.0
Woodinville,4,2.75,2430,2430,1.0,1967,465425.0001
Redmond,3,1.75,1620,1190,1.0,1973,467100.0
Seattle,3,2.25,1670,1220,2.0,2002,505000.0
Seattle,2,1.0,1680,1140,1.0,1941,515000.0
Seattle,3,1.75,1680,960,1.0,1992,525999.9999
Seattle,4,1.75,1814,944,1.0,1951,530000.0001
Redmond,3,2.5,2210,2210,2.0,1994,534999.9999
Auburn,4,3.0,2830,2830,2.0,1987,549899.9995
Renton,3,2.5,2510,2510,2.0,1992,550000.0
Bellevue,3,2.0,1830,1830,1.0,1959,550000.0
Seattle,3,1.0,1430,1080,1.0,1919,552000.0
Burien,4,2.0,3510,2210,1.0,1965,554819.9999
Federal Way,5,2.5,3840,3840,2.0,1991,556000.0
Seattle,3,2.5,1620,1470,3.0,2008,580000.0
Seattle,3,2.0,1670,1670,1.5,1931,585000.0
Seattle,3,2.75,1960,1410,1.5,1926,599000.0
Seattle,3,1.0,1500,1000,1.0,1947,606000.0
Sammamish,3,2.5,2600,2600,1.0,1984,625000.0
Seattle,4,2.75,2250,1200,1.0,1951,648474.9999
Seattle,4,4.0,2290,1690,1.5,1940,661254.0
Bellevue,3,2.75,1800,1320,1.0,1966,665000.0
Seattle,4,2.0,1590,1590,1.0,1951,670500.0
Sammamish,4,2.5,2560,2560,2.0,1987,675000.0001
Redmond,3,2.5,2390,2390,2.0,1984,735000.0
Bellevue,4,2.5,2380,2380,2.0,1991,782000.0001
Redmond,4,2.75,3500,3500,2.0,2005,788599.9999
Bellevue,4,2.25,2530,1570,1.0,1976,902000.0001
Clyde Hill,4,2.0,2840,1420,1.0,1952,945000.0001
Bellevue,5,3.25,3400,3400,2.0,1999,950000.0
Seattle,4,3.0,3680,2060,1.0,1967,980000.0001
Redmond,3,4.0,4380,4380,2.0,1983,1050000.0
Redmond,4,3.5,4740,4740,2.0,2003,1200000.0
Seattle,4,3.0,3370,1860,1.0,1988,1325000.0
Mercer Island,4,3.5,4390,3060,2.0,1990,1610000.0
Renton,2,1.0,720,720,1.0,1943,199000.0
Maple Valley,3,1.75,1260,1260,1.0,1994,245000.0
Auburn,4,1.5,2670,2670,2.0,1996,347000.0001
North Bend,4,1.75,1960,1340,1.0,1979,372000.0
Snoqualmie,3,2.5,2460,2460,2.0,2007,440500.0001
Seattle,3,1.0,1370,1370,1.5,1924,479000.0
Issaquah,3,2.5,1740,1740,2.0,1989,496699.9999
Sammamish,4,2.5,3670,3670,2.0,2005,820000.0001
Carnation,4,4.25,5584,5584,2.0,1998,1680000.0
Enumclaw,3,1.75,1570,1570,1.0,1991,195000.0
Maple Valley,3,2.5,1560,1560,2.0,2003,295000.0
SeaTac,4,3.5,2630,1640,1.5,1984,325000.0
Shoreline,3,2.5,1620,1620,1.0,1955,355300.0001
Redmond,3,3.0,2980,1820,1.0,1981,674999.9999
Auburn,3,1.0,1140,1140,1.0,1972,172500.0
Seattle,3,1.0,1140,1140,1.0,1960,276000.0
Renton,4,2.5,2100,2100,2.0,2009,346000.0001
Shoreline,3,2.5,1780,1780,2.0,2001,370000.0
Kenmore,3,1.5,1690,1140,1.0,1956,379950.0
Duvall,2,1.5,2730,1570,1.0,1976,459999.9999
Redmond,4,2.5,2700,2700,2.0,2004,690000.0
Woodinville,3,2.0,2130,2130,1.0,1989,880000.0001
Seattle,2,1.0,1180,1180,1.0,1918,160000.0
Burien,3,1.0,910,910,1.0,1971,244000.0
Shoreline,3,1.0,960,960,1.0,1955,255000.0
Pacific,3,2.0,1630,1630,1.0,2003,260000.0
Des Moines,3,2.5,1658,1658,2.0,2014,263900.0
Kent,3,2.5,1440,1000,1.0,1983,265000.0
Burien,4,2.0,1930,1030,1.0,1967,268000.0
Covington,3,1.75,1670,1320,1.0,1987,274950.0
Seattle,3,1.0,1200,920,1.0,1943,280000.0
Kent,3,2.5,1680,1240,1.0,1994,282000.0
Kent,4,2.5,1982,1982,2.0,2004,283200.0
Tukwila,5,3.0,2840,1710,1.0,2003,292050.0
Des Moines,5,1.0,1410,960,1.0,1955,295832.0
Kirkland,3,1.0,900,900,1.0,1972,304000.0
Renton,4,1.0,2100,1050,1.0,1968,305000.0001
Seattle,3,1.5,1255,1255,3.0,2004,312000.0
Maple Valley,4,2.5,1630,1630,2.0,2003,312900.0
Shoreline,3,1.75,1320,1320,1.0,1948,312999.9999
Kent,3,1.75,1780,1780,1.0,1983,325000.0
Seattle,2,1.0,880,880,1.0,1942,326100.0
Woodinville,3,1.0,1810,1810,2.0,1970,326500.0
Auburn,4,2.5,1720,1120,1.0,1961,328211.9048
Seattle,3,1.0,1600,1150,1.0,1964,329000.0
Kent,4,2.0,2330,1400,1.0,1941,344950.0
Seattle,2,1.5,1180,990,2.0,2005,345000.0
Renton,4,2.25,1810,1810,2.0,2003,354999.9999
Shoreline,3,1.0,1570,1570,1.0,1954,360000.0
Seattle,3,1.0,1050,1050,1.5,1954,360000.0
Seattle,2,2.25,1280,1080,2.0,2009,370000.0
Seattle,3,1.5,2000,1520,1.0,1965,375000.0
Kirkland,3,1.75,1440,1440,1.0,1973,375000.0001
Kenmore,5,2.0,2330,1190,1.0,1962,389000.0
Renton,4,2.5,2870,2540,2.0,1979,399000.0
Seattle,3,3.0,1296,1296,3.0,2009,399950.0
Seattle,2,1.0,1470,1470,1.0,1940,400000.0
Shoreline,3,1.75,1980,1310,1.0,1949,404999.9999
Seattle,2,1.0,910,910,1.0,1942,405000.0
Shoreline,3,2.25,1950,1350,1.0,1964,415000.0
Kirkland,5,1.5,1900,1130,1.0,1961,415000.0
Bothell,3,2.5,1870,1870,2.0,2003,425000.0
Seattle,3,1.0,1270,1270,1.5,1928,435000.0
Kenmore,3,1.75,1650,1650,1.0,1961,438000.0
Duvall,4,2.5,2520,2520,2.0,1999,450000.0
Renton,4,3.25,2510,2510,2.0,2009,450800.0
Redmond,3,2.0,1460,1460,1.0,1975,455500.0
Snoqualmie,3,2.5,2420,2420,2.0,1998,455600.0
Seattle,3,1.75,1840,1050,1.0,1925,457500.0
Seattle,3,3.5,1600,1240,2.0,2006,460000.0
Kirkland,3,2.0,1560,1560,1.0,1967,465000.0
Seattle,2,1.0,1160,860,1.0,1942,468000.0
Seattle,4,2.75,1720,1720,2.0,1978,476999.9999
Seattle,3,1.0,1150,1150,1.0,1943,480000.0001
Seattle,3,2.5,1590,1590,3.0,1985,488000.0
Bellevue,4,2.25,1940,1430,1.0,1956,495000.0
Seattle,3,2.5,1750,1750,3.0,2013,494999.9999
Seattle,3,3.5,1820,1430,2.0,2014,499950.0
Issaquah,3,2.25,1760,1760,2.0,1988,500000.0
Renton,4,2.5,3200,3200,2.0,2005,515000.0001
Seattle,5,3.0,2750,1750,1.5,1926,524999.9999
Seattle,4,2.5,2340,2340,2.0,1921,535000.0001
Seattle,4,4.25,1960,1960,2.0,1940,540000.0
Federal Way,5,4.5,4850,4850,2.0,2001,569950.0002
Woodinville,3,1.75,1930,1930,1.0,1977,569999.9999
Issaquah,3,1.75,1850,1850,1.0,1983,585000.0
Issaquah,3,3.5,2710,1650,2.0,2005,627000.0001
Sammamish,4,2.5,2740,2740,2.0,1990,673476.8182
Seattle,3,2.5,2540,2540,2.0,1940,675000.0
Bellevue,3,2.5,2810,2810,2.0,2001,685000.0
Seattle,4,3.0,3000,1970,1.5,1913,688000.0
Redmond,2,2.5,2160,2160,1.0,2002,715000.0
Seattle,3,1.5,2500,1450,1.5,1940,725000.0
Seattle,3,2.5,2330,1410,2.0,2004,731999.9999
Sammamish,5,2.75,3390,3390,2.0,2004,735000.0
Seattle,2,2.0,1880,1880,1.5,1902,751750.0
Kirkland,3,2.5,2610,2610,2.0,2014,754949.9999
Redmond,4,2.5,3330,3330,2.0,2009,760000.0
Seattle,3,3.0,2520,1560,1.5,1925,780000.0
Kirkland,4,2.5,2680,1380,1.0,1952,800000.0
Redmond,4,2.5,1850,1430,1.0,1978,829999.9999
Kirkland,4,3.0,3720,3720,2.0,1991,856999.9998
Sammamish,5,4.0,3720,3720,2.0,2005,960000.0
Seattle,3,3.75,3250,2370,2.0,1951,967500.0
Mercer Island,5,3.0,3480,3480,2.0,1964,970000.0
Seattle,3,2.25,2510,1810,1.5,1932,994000.0
Seattle,4,2.5,2920,1470,1.0,1921,1050000.0
Snoqualmie,4,3.0,5940,4950,2.0,2004,1149000.0
Seattle,3,3.25,3790,3790,2.0,1985,1600000.0
Kirkland,5,4.5,4590,4590,2.0,2009,1710000.0
Auburn,2,1.0,780,780,1.0,1948,87500.0
Renton,2,1.0,720,720,1.0,1942,127160.0
Seattle,3,1.0,820,820,1.5,1910,150000.0
Kent,2,1.0,740,740,1.0,1949,157499.9999
Covington,3,1.0,1100,1100,1.0,1969,168500.0
Maple Valley,2,1.0,830,830,1.0,1996,175000.0
Burien,3,1.5,1430,1430,1.0,1953,178650.0
Federal Way,2,2.0,1390,1390,2.0,1986,186950.0
Auburn,2,2.0,1700,850,1.0,1927,188999.9999
Seattle,2,1.5,880,880,2.0,2007,210000.0
Burien,2,1.0,1320,1320,1.0,1943,215000.0
Pacific,3,1.75,1210,1210,1.0,1983,215000.0
Auburn,3,1.5,1560,1040,1.0,1964,224000.0
Auburn,3,2.0,2030,1220,1.0,1979,224999.9999
Auburn,3,2.5,1680,1680,2.0,1994,225000.0
Federal Way,4,2.25,1830,1200,1.0,1989,236000.0001
SeaTac,3,1.75,1310,1310,1.0,1979,242000.0
Kent,3,2.5,2060,2060,2.0,1999,244615.0
Auburn,3,1.75,1300,1300,1.0,1996,245100.0
Federal Way,3,2.0,1400,1400,1.0,1968,253400.0001
Maple Valley,3,2.0,1480,1480,1.0,1992,254000.0
Shoreline,2,1.0,1060,1060,1.0,1952,254000.0
Renton,3,1.5,1430,1430,1.0,1966,266200.0
Federal Way,3,2.5,2495,2495,2.0,2007,267000.0
Seattle,3,1.75,1300,650,1.0,1918,270000.0
Seattle,4,1.0,1450,990,1.0,1964,277000.0001
Shoreline,3,1.0,1180,1180,1.5,1946,282508.8889
Seattle,2,1.0,800,800,1.0,1954,285000.0
Shoreline,3,1.0,1390,1390,1.5,1954,299000.0
Woodinville,3,1.0,1160,1160,1.0,1968,305000.0001
Renton,3,2.5,1680,1680,2.0,1984,306000.0
Kenmore,3,1.0,1430,1430,1.5,1927,310000.0
Seattle,2,2.5,1050,1050,2.0,2005,325000.0
Renton,3,2.75,1720,1720,1.0,1958,326000.0
Seattle,4,2.0,1480,740,1.0,1910,335000.0
Sammamish,3,2.25,2180,2180,2.0,1986,341749.9999
Seattle,2,1.0,1080,1080,1.0,1940,345000.0
Federal Way,3,2.5,2400,2400,1.0,1990,355000.0
Seattle,2,1.0,1270,960,1.0,1920,354999.9999
Federal Way,4,2.5,3753,3336,2.0,2008,363000.0
Kenmore,3,1.5,1300,1300,1.0,1963,365000.0
Seattle,3,2.0,1660,1660,1.0,1949,380000.0
Renton,3,2.5,2250,2250,2.0,2006,395000.0
Redmond,3,1.75,1820,1250,1.0,1977,420000.0
Kenmore,4,2.75,1680,1080,1.0,1979,425000.0
Redmond,2,1.75,1350,1350,1.0,2005,429000.0
Seattle,3,3.75,3890,2390,1.0,1943,430000.0002
Seattle,3,1.75,1980,1270,1.0,1965,432500.0
Mercer Island,4,3.0,4260,4260,2.0,2000,435000.0001
Seattle,3,1.75,1610,1610,1.0,1947,438750.0
Seattle,3,1.0,1100,1100,1.0,1917,450000.0
Seattle,3,2.0,1300,900,1.0,1993,450385.7143
Kent,4,3.0,2230,2230,2.0,1991,460000.0
Federal Way,6,3.25,4250,2150,1.0,1967,465000.0
Kirkland,3,2.25,1840,1840,2.0,2003,465000.0
Seattle,2,3.25,1400,1400,3.0,2000,474800.0
Kent,3,2.0,1980,1980,1.0,1994,479900.0
Woodinville,4,2.5,2360,2360,2.0,2003,490000.0
Renton,4,2.5,2798,2798,2.0,2012,499950.0
Bellevue,4,1.5,2040,1020,1.0,1961,510000.0
Seattle,3,1.75,1400,870,1.0,1951,510250.0
Snoqualmie,4,2.5,2680,2680,2.0,2004,515000.0
Bellevue,2,1.75,2050,2050,1.0,1950,532500.0001
Issaquah,3,2.5,1720,1720,2.0,1994,535000.0
Kirkland,3,2.5,1550,1550,2.0,1999,537000.0
Issaquah,4,2.5,2230,1450,1.0,1974,544500.0001
Redmond,4,1.0,1660,930,1.0,1933,550000.0
Bothell,3,2.5,3160,2650,2.0,2006,555000.0
Seattle,7,4.5,4140,2070,1.0,1978,564999.9999
Seattle,5,2.0,1940,970,1.0,1945,580000.0
Seattle,3,2.0,1650,1650,2.0,1926,590000.0
Seattle,4,2.75,2020,1010,1.0,1917,599000.0
Kirkland,4,2.0,2510,2510,1.0,1960,600000.0
Bellevue,3,1.75,1580,1150,1.0,1967,600000.0
Woodinville,4,2.5,2740,2740,2.0,1993,630000.0
Seattle,3,2.5,2300,2000,1.5,1921,635000.0
Sammamish,4,2.5,2990,2990,2.0,2003,654999.9999
Sammamish,3,2.5,2190,2190,2.0,1987,665000.0001
Seattle,3,1.0,1700,1700,1.5,1907,681000.0
Renton,4,2.5,3150,3150,2.0,2006,681715.9999
Snoqualmie,4,3.5,4490,3390,2.0,2006,699999.9998
Seattle,2,1.75,2320,1720,1.5,1925,700000.0
Redmond,3,2.5,2810,2810,2.0,2005,738999.9999
Fall City,4,2.25,2920,2920,2.0,1998,740000.0002
Seattle,2,1.75,2080,1080,1.0,1923,740000.0001
Issaquah,4,3.5,3910,3130,2.0,2007,782000.0
Seattle,4,2.25,2000,2000,2.0,2001,815000.0
Seattle,3,2.5,2510,2510,2.0,1995,820000.0001
Sammamish,4,2.5,3420,3420,2.0,2000,840000.0001
Seattle,4,2.75,3040,2100,2.0,1906,840000.0
Seattle,3,2.0,2520,1410,1.5,1906,840500.0
Seattle,3,2.75,2280,1280,1.0,1917,875000.0001
Bellevue,5,1.5,2680,1450,1.0,1963,898000.0
Mercer Island,6,2.75,2300,2300,1.5,1950,900000.0001
Seattle,3,2.5,2690,1840,2.0,1943,925000.0
Seattle,4,2.25,2410,1800,2.0,1929,960000.0
Sammamish,6,2.75,3610,2070,1.0,1959,968000.0
Bellevue,7,4.0,3150,3150,1.0,1957,999000.0002
Seattle,4,2.75,3650,2530,2.0,1951,1210000.0
Seattle,4,2.5,3240,2260,1.0,1946,1285000.0
Seattle,4,3.25,4700,2520,1.0,2005,1400000.0
SeaTac,3,1.0,1010,1010,1.0,1954,145000.0
Seattle,3,1.0,1250,1030,1.0,1949,155000.0
Renton,2,1.0,1500,880,1.5,1928,156766.6666
Des Moines,3,1.75,1590,1590,2.0,1986,210000.0
Renton,2,1.0,950,950,1.0,1958,230000.0
Renton,4,2.0,1530,1530,2.0,1942,231000.0001
Kent,3,1.5,1270,1270,1.0,1964,246499.9999
SeaTac,2,1.0,1110,1110,1.0,1951,250000.0001
Kent,3,1.5,1470,1470,1.0,1958,264000.0
Federal Way,4,2.25,1720,1120,1.0,1978,264950.0
Federal Way,4,1.75,1880,1180,1.0,1978,266500.0
SeaTac,3,1.75,1590,1090,1.0,1957,267500.0001
Renton,4,2.5,2290,2290,2.0,2001,295000.0
