city,number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,cost rank
Seattle,3,2.25,998,798,2.0,2007,2
Seattle,3,2.25,1347,1347,3.0,2010,2
Renton,3,2.5,1750,1750,2.0,1994,2
Kent,4,3.5,3150,3150,2.0,2005,2
Seattle,3,1.0,1070,1070,1.0,1951,2
Federal Way,4,2.5,1980,1980,2.0,1988,2
Kirkland,3,1.0,1220,1220,1.0,1966,2
Federal Way,4,2.5,2052,2052,2.0,2014,2
Seattle,2,1.0,1060,1060,2.0,1979,2
Seattle,3,2.25,1280,1280,3.0,2005,2
Woodinville,2,1.75,1060,1060,1.0,1977,2
Seattle,3,1.5,1360,1360,3.0,2008,2
Des Moines,3,1.0,1100,1100,1.5,1922,2
Seattle,5,3.5,2420,2420,2.0,2013,2
Seattle,2,2.5,1230,1060,2.0,2011,2
Bellevue,3,1.0,1250,1250,1.0,1956,2
Federal Way,4,2.5,3140,3140,2.0,1991,2
Seattle,3,1.0,1040,1040,1.0,1942,2
SeaTac,3,2.25,1950,1950,1.0,2006,2
Kent,4,3.0,3220,2450,2.0,1990,2
Seattle,2,2.5,1520,1240,2.0,2007,2
Seattle,3,3.5,1900,1430,2.0,2008,2
Redmond,3,2.75,2200,1100,1.0,1982,2
Seattle,3,2.25,1470,1090,2.0,2007,2
Redmond,3,2.25,1820,1240,1.0,1981,2
Kent,4,2.25,3250,3250,2.0,1983,2
Woodinville,5,2.25,2230,1320,1.0,1978,2
Seattle,4,2.0,1640,1640,2.0,1907,2
Seattle,2,1.75,1560,780,1.0,1904,2
Federal Way,2,1.75,2860,1510,1.0,1948,3
Bellevue,4,2.25,2350,1430,1.0,1977,3
Renton,4,1.75,3000,1500,1.0,1950,3
Redmond,4,3.0,2170,1370,1.0,1968,3
Seattle,3,1.75,1650,1040,1.0,1908,3
Des Moines,4,2.75,2750,1720,1.0,1981,3
Snoqualmie,4,2.5,2980,2980,2.0,2000,3
Redmond,3,1.75,2060,1350,1.0,1984,3
Sammamish,4,2.5,3240,1860,1.0,1977,3
Kirkland,4,1.75,2260,1130,1.0,1947,3
Sammamish,4,2.5,2860,2860,2.0,1999,3
Seattle,4,1.75,2740,1370,1.0,1954,3
Sammamish,3,2.5,2670,2670,2.0,1989,3
Redmond,3,2.5,2450,2450,2.0,2010,3
Newcastle,4,2.5,2600,2600,2.0,1996,3
Seattle,3,2.0,2000,1100,1.0,1916,3
Sammamish,4,2.5,2930,2930,2.0,1998,4
Bellevue,4,2.5,2350,2350,2.0,1987,4
Seattle,4,2.75,2410,1410,1.0,1950,4
Shoreline,4,3.25,3090,3090,2.0,2013,4
Redmond,4,3.25,3340,2240,1.5,1963,4
Sammamish,4,3.0,4260,4260,2.0,1996,4
Kirkland,4,3.25,3440,3440,2.0,1983,4
Bellevue,4,2.5,3030,3030,1.5,1988,4
Issaquah,4,3.75,3860,3860,2.5,2007,4
Bellevue,4,3.0,3600,2100,1.0,1976,4
Kirkland,3,2.75,2890,2830,2.0,1987,4
Carnation,1,0.75,430,430,1.0,1912,1
Seattle,2,1.0,580,580,1.0,1943,1
Auburn,3,1.0,1080,1080,1.0,1967,1
Auburn,2,1.0,1300,1300,1.0,1958,1
Renton,4,1.0,1350,1350,1.0,1966,1
Enumclaw,3,1.0,960,960,1.0,1982,1
Ravensdale,2,1.0,1300,1300,1.5,1975,1
Kent,4,2.5,1810,1230,1.0,1970,1
Seattle,2,1.0,1140,1010,1.5,2007,1
Seattle,4,1.0,1450,1450,1.0,1943,1
Kent,3,2.0,1490,1490,1.5,1984,1
Maple Valley,3,1.75,1620,1310,1.0,1988,1
Kent,4,2.5,1960,1960,2.0,2001,1
Federal Way,4,1.5,1930,1930,2.0,1979,1
Seattle,2,1.0,1340,1340,1.0,1947,2
Woodinville,2,1.0,780,780,1.0,1946,2
Seattle,3,1.0,1920,1120,1.0,1952,2
Seattle,4,2.5,2210,1410,1.0,1965,2
Renton,4,2.5,1750,1240,1.0,1983,2
Shoreline,3,1.0,1010,1010,1.0,1947,2
Seattle,3,2.0,1220,1220,3.0,2007,2
Seattle,3,2.0,1270,1270,3.0,2006,2
Shoreline,5,1.75,2120,1320,1.0,1942,2
Seattle,3,1.0,1800,1200,1.0,1942,2
Renton,4,2.5,2440,2440,2.0,1993,2
North Bend,3,1.75,2420,2420,2.0,1911,2
Issaquah,3,2.0,1540,1540,2.0,2005,2
Kirkland,3,2.0,1650,1650,1.5,1983,2
Redmond,3,1.5,1110,1110,1.0,1963,2
Bellevue,4,1.75,1830,1010,1.0,1966,2
Renton,4,2.5,2380,2380,2.0,2002,2
Issaquah,4,2.5,2560,1280,1.0,1965,2
Renton,3,2.0,1630,1630,1.0,1987,2
Seattle,3,2.0,1560,1560,2.0,1923,2
Seattle,3,1.0,1670,1170,1.5,1939,2
Seattle,3,1.75,1300,820,1.0,1919,2
Seattle,3,1.75,1120,1120,1.5,1925,2
Woodinville,4,2.75,2430,2430,1.0,1967,2
Redmond,3,1.75,1620,1190,1.0,1973,2
Seattle,3,2.25,1670,1220,2.0,2002,3
Seattle,2,1.0,1680,1140,1.0,1941,3
Seattle,3,1.75,1680,960,1.0,1992,3
Seattle,4,1.75,1814,944,1.0,1951,3
Redmond,3,2.5,2210,2210,2.0,1994,3
Auburn,4,3.0,2830,2830,2.0,1987,3
Renton,3,2.5,2510,2510,2.0,1992,3
Bellevue,3,2.0,1830,1830,1.0,1959,3
Seattle,3,1.0,1430,1080,1.0,1919,3
Burien,4,2.0,3510,2210,1.0,1965,3
Federal Way,5,2.5,3840,3840,2.0,1991,3
Seattle,3,2.5,1620,1470,3.0,2008,3
Seattle,3,2.0,1670,1670,1.5,1931,3
Seattle,3,2.75,1960,1410,1.5,1926,3
Seattle,3,1.0,1500,1000,1.0,1947,3
Sammamish,3,2.5,2600,2600,1.0,1984,3
Seattle,4,2.75,2250,1200,1.0,1951,3
Seattle,4,4.0,2290,1690,1.5,1940,3
Bellevue,3,2.75,1800,1320,1.0,1966,3
Seattle,4,2.0,1590,1590,1.0,1951,3
Sammamish,4,2.5,2560,2560,2.0,1987,3
Redmond,3,2.5,2390,2390,2.0,1984,4
Bellevue,4,2.5,2380,2380,2.0,1991,4
Redmond,4,2.75,3500,3500,2.0,2005,4
Bellevue,4,2.25,2530,1570,1.0,1976,4
Clyde Hill,4,2.0,2840,1420,1.0,1952,4
Bellevue,5,3.25,3400,3400,2.0,1999,4
Seattle,4,3.0,3680,2060,1.0,1967,4
Redmond,3,4.0,4380,4380,2.0,1983,4
Redmond,4,3.5,4740,4740,2.0,2003,4
Seattle,4,3.0,3370,1860,1.0,1988,4
Mercer Island,4,3.5,4390,3060,2.0,1990,4
Renton,2,1.0,720,720,1.0,1943,1
Maple Valley,3,1.75,1260,1260,1.0,1994,1
Auburn,4,1.5,2670,2670,2.0,1996,2
North Bend,4,1.75,1960,1340,1.0,1979,2
Snoqualmie,3,2.5,2460,2460,2.0,2007,2
Seattle,3,1.0,1370,1370,1.5,1924,2
Issaquah,3,2.5,1740,1740,2.0,1989,2
Sammamish,4,2.5,3670,3670,2.0,2005,4
Carnation,4,4.25,5584,5584,2.0,1998,4
Enumclaw,3,1.75,1570,1570,1.0,1991,1
Maple Valley,3,2.5,1560,1560,2.0,2003,1
SeaTac,4,3.5,2630,1640,1.5,1984,2
Shoreline,3,2.5,1620,1620,1.0,1955,2
Redmond,3,3.0,2980,1820,1.0,1981,3
Auburn,3,1.0,1140,1140,1.0,1972,1
Seattle,3,1.0,1140,1140,1.0,1960,1
Renton,4,2.5,2100,2100,2.0,2009,2
Shoreline,3,2.5,1780,1780,2.0,2001,2
Kenmore,3,1.5,1690,1140,1.0,1956,2
Duvall,2,1.5,2730,1570,1.0,1976,2
Redmond,4,2.5,2700,2700,2.0,2004,3
Woodinville,3,2.0,2130,2130,1.0,1989,4
Seattle,2,1.0,1180,1180,1.0,1918,1
Burien,3,1.0,910,910,1.0,1971,1
Shoreline,3,1.0,960,960,1.0,1955,1
Pacific,3,2.0,1630,1630,1.0,2003,1
Des Moines,3,2.5,1658,1658,2.0,2014,1
Kent,3,2.5,1440,1000,1.0,1983,1
Burien,4,2.0,1930,1030,1.0,1967,1
Covington,3,1.75,1670,1320,1.0,1987,1
Seattle,3,1.0,1200,920,1.0,1943,1
Kent,3,2.5,1680,1240,1.0,1994,1
Kent,4,2.5,1982,1982,2.0,2004,1
Tukwila,5,3.0,2840,1710,1.0,2003,1
Des Moines,5,1.0,1410,960,1.0,1955,1
Kirkland,3,1.0,900,900,1.0,1972,2
Renton,4,1.0,2100,1050,1.0,1968,2
Seattle,3,1.5,1255,1255,3.0,2004,2
Maple Valley,4,2.5,1630,1630,2.0,2003,2
Shoreline,3,1.75,1320,1320,1.0,1948,2
Kent,3,1.75,1780,1780,1.0,1983,2
Seattle,2,1.0,880,880,1.0,1942,2
Woodinville,3,1.0,1810,1810,2.0,1970,2
Auburn,4,2.5,1720,1120,1.0,1961,2
Seattle,3,1.0,1600,1150,1.0,1964,2
Kent,4,2.0,2330,1400,1.0,1941,2
Seattle,2,1.5,1180,990,2.0,2005,2
Renton,4,2.25,1810,1810,2.0,2003,2
Shoreline,3,1.0,1570,1570,1.0,1954,2
Seattle,3,1.0,1050,1050,1.5,1954,2
Seattle,2,2.25,1280,1080,2.0,2009,2
Seattle,3,1.5,2000,1520,1.0,1965,2
Kirkland,3,1.75,1440,1440,1.0,1973,2
Kenmore,5,2.0,2330,1190,1.0,1962,2
Renton,4,2.5,2870,2540,2.0,1979,2
Seattle,3,3.0,1296,1296,3.0,2009,2
Seattle,2,1.0,1470,1470,1.0,1940,2
Shoreline,3,1.75,1980,1310,1.0,1949,2
Seattle,2,1.0,910,910,1.0,1942,2
Shoreline,3,2.25,1950,1350,1.0,1964,2
Kirkland,5,1.5,1900,1130,1.0,1961,2
Bothell,3,2.5,1870,1870,2.0,2003,2
Seattle,3,1.0,1270,1270,1.5,1928,2
Kenmore,3,1.75,1650,1650,1.0,1961,2
Duvall,4,2.5,2520,2520,2.0,1999,2
Renton,4,3.25,2510,2510,2.0,2009,2
Redmond,3,2.0,1460,1460,1.0,1975,2
Snoqualmie,3,2.5,2420,2420,2.0,1998,2
Seattle,3,1.75,1840,1050,1.0,1925,2
Seattle,3,3.5,1600,1240,2.0,2006,2
Kirkland,3,2.0,1560,1560,1.0,1967,2
Seattle,2,1.0,1160,860,1.0,1942,2
Seattle,4,2.75,1720,1720,2.0,1978,2
Seattle,3,1.0,1150,1150,1.0,1943,2
Seattle,3,2.5,1590,1590,3.0,1985,2
Bellevue,4,2.25,1940,1430,1.0,1956,2
Seattle,3,2.5,1750,1750,3.0,2013,2
Seattle,3,3.5,1820,1430,2.0,2014,2
Issaquah,3,2.25,1760,1760,2.0,1988,3
Renton,4,2.5,3200,3200,2.0,2005,3
Seattle,5,3.0,2750,1750,1.5,1926,3
Seattle,4,2.5,2340,2340,2.0,1921,3
Seattle,4,4.25,1960,1960,2.0,1940,3
Federal Way,5,4.5,4850,4850,2.0,2001,3
Woodinville,3,1.75,1930,1930,1.0,1977,3
Issaquah,3,1.75,1850,1850,1.0,1983,3
Issaquah,3,3.5,2710,1650,2.0,2005,3
Sammamish,4,2.5,2740,2740,2.0,1990,3
Seattle,3,2.5,2540,2540,2.0,1940,3
Bellevue,3,2.5,2810,2810,2.0,2001,3
Seattle,4,3.0,3000,1970,1.5,1913,3
Redmond,2,2.5,2160,2160,1.0,2002,4
Seattle,3,1.5,2500,1450,1.5,1940,4
Seattle,3,2.5,2330,1410,2.0,2004,4
Sammamish,5,2.75,3390,3390,2.0,2004,4
Seattle,2,2.0,1880,1880,1.5,1902,4
Kirkland,3,2.5,2610,2610,2.0,2014,4
Redmond,4,2.5,3330,3330,2.0,2009,4
Seattle,3,3.0,2520,1560,1.5,1925,4
Kirkland,4,2.5,2680,1380,1.0,1952,4
Redmond,4,2.5,1850,1430,1.0,1978,4
Kirkland,4,3.0,3720,3720,2.0,1991,4
Sammamish,5,4.0,3720,3720,2.0,2005,4
Seattle,3,3.75,3250,2370,2.0,1951,4
Mercer Island,5,3.0,3480,3480,2.0,1964,4
Seattle,3,2.25,2510,1810,1.5,1932,4
Seattle,4,2.5,2920,1470,1.0,1921,4
Snoqualmie,4,3.0,5940,4950,2.0,2004,4
Seattle,3,3.25,3790,3790,2.0,1985,4
Kirkland,5,4.5,4590,4590,2.0,2009,4
Auburn,2,1.0,780,780,1.0,1948,1
Renton,2,1.0,720,720,1.0,1942,1
Seattle,3,1.0,820,820,1.5,1910,1
Kent,2,1.0,740,740,1.0,1949,1
Covington,3,1.0,1100,1100,1.0,1969,1
Maple Valley,2,1.0,830,830,1.0,1996,1
Burien,3,1.5,1430,1430,1.0,1953,1
Federal Way,2,2.0,1390,1390,2.0,1986,1
Auburn,2,2.0,1700,850,1.0,1927,1
Seattle,2,1.5,880,880,2.0,2007,1
Burien,2,1.0,1320,1320,1.0,1943,1
Pacific,3,1.75,1210,1210,1.0,1983,1
Auburn,3,1.5,1560,1040,1.0,1964,1
Auburn,3,2.0,2030,1220,1.0,1979,1
Auburn,3,2.5,1680,1680,2.0,1994,1
Federal Way,4,2.25,1830,1200,1.0,1989,1
SeaTac,3,1.75,1310,1310,1.0,1979,1
Kent,3,2.5,2060,2060,2.0,1999,1
Auburn,3,1.75,1300,1300,1.0,1996,1
Federal Way,3,2.0,1400,1400,1.0,1968,1
Maple Valley,3,2.0,1480,1480,1.0,1992,1
Shoreline,2,1.0,1060,1060,1.0,1952,1
Renton,3,1.5,1430,1430,1.0,1966,1
Federal Way,3,2.5,2495,2495,2.0,2007,1
Seattle,3,1.75,1300,650,1.0,1918,1
Seattle,4,1.0,1450,990,1.0,1964,1
Shoreline,3,1.0,1180,1180,1.5,1946,1
Seattle,2,1.0,800,800,1.0,1954,1
Shoreline,3,1.0,1390,1390,1.5,1954,1
Woodinville,3,1.0,1160,1160,1.0,1968,2
Renton,3,2.5,1680,1680,2.0,1984,2
Kenmore,3,1.0,1430,1430,1.5,1927,2
Seattle,2,2.5,1050,1050,2.0,2005,2
Renton,3,2.75,1720,1720,1.0,1958,2
Seattle,4,2.0,1480,740,1.0,1910,2
Sammamish,3,2.25,2180,2180,2.0,1986,2
Seattle,2,1.0,1080,1080,1.0,1940,2
Federal Way,3,2.5,2400,2400,1.0,1990,2
Seattle,2,1.0,1270,960,1.0,1920,2
Federal Way,4,2.5,3753,3336,2.0,2008,2
Kenmore,3,1.5,1300,1300,1.0,1963,2
Seattle,3,2.0,1660,1660,1.0,1949,2
Renton,3,2.5,2250,2250,2.0,2006,2
Redmond,3,1.75,1820,1250,1.0,1977,2
Kenmore,4,2.75,1680,1080,1.0,1979,2
Redmond,2,1.75,1350,1350,1.0,2005,2
Seattle,3,3.75,3890,2390,1.0,1943,2
Seattle,3,1.75,1980,1270,1.0,1965,2
Mercer Island,4,3.0,4260,4260,2.0,2000,2
Seattle,3,1.75,1610,1610,1.0,1947,2
Seattle,3,1.0,1100,1100,1.0,1917,2
Seattle,3,2.0,1300,900,1.0,1993,2
Kent,4,3.0,2230,2230,2.0,1991,2
Federal Way,6,3.25,4250,2150,1.0,1967,2
Kirkland,3,2.25,1840,1840,2.0,2003,2
Seattle,2,3.25,1400,1400,3.0,2000,2
Kent,3,2.0,1980,1980,1.0,1994,2
Woodinville,4,2.5,2360,2360,2.0,2003,2
Renton,4,2.5,2798,2798,2.0,2012,2
Bellevue,4,1.5,2040,1020,1.0,1961,3
Seattle,3,1.75,1400,870,1.0,1951,3
Snoqualmie,4,2.5,2680,2680,2.0,2004,3
Bellevue,2,1.75,2050,2050,1.0,1950,3
Issaquah,3,2.5,1720,1720,2.0,1994,3
Kirkland,3,2.5,1550,1550,2.0,1999,3
Issaquah,4,2.5,2230,1450,1.0,1974,3
Redmond,4,1.0,1660,930,1.0,1933,3
Bothell,3,2.5,3160,2650,2.0,2006,3
Seattle,7,4.5,4140,2070,1.0,1978,3
Seattle,5,2.0,1940,970,1.0,1945,3
Seattle,3,2.0,1650,1650,2.0,1926,3
Seattle,4,2.75,2020,1010,1.0,1917,3
Kirkland,4,2.0,2510,2510,1.0,1960,3
Bellevue,3,1.75,1580,1150,1.0,1967,3
Woodinville,4,2.5,2740,2740,2.0,1993,3
Seattle,3,2.5,2300,2000,1.5,1921,3
Sammamish,4,2.5,2990,2990,2.0,2003,3
Sammamish,3,2.5,2190,2190,2.0,1987,3
Seattle,3,1.0,1700,1700,1.5,1907,3
Renton,4,2.5,3150,3150,2.0,2006,3
Snoqualmie,4,3.5,4490,3390,2.0,2006,3
Seattle,2,1.75,2320,1720,1.5,1925,4
Redmond,3,2.5,2810,2810,2.0,2005,4
Fall City,4,2.25,2920,2920,2.0,1998,4
Seattle,2,1.75,2080,1080,1.0,1923,4
Issaquah,4,3.5,3910,3130,2.0,2007,4
Seattle,4,2.25,2000,2000,2.0,2001,4
Seattle,3,2.5,2510,2510,2.0,1995,4
Sammamish,4,2.5,3420,3420,2.0,2000,4
Seattle,4,2.75,3040,2100,2.0,1906,4
Seattle,3,2.0,2520,1410,1.5,1906,4
Seattle,3,2.75,2280,1280,1.0,1917,4
Bellevue,5,1.5,2680,1450,1.0,1963,4
Mercer Island,6,2.75,2300,2300,1.5,1950,4
Seattle,3,2.5,2690,1840,2.0,1943,4
Seattle,4,2.25,2410,1800,2.0,1929,4
Sammamish,6,2.75,3610,2070,1.0,1959,4
Bellevue,7,4.0,3150,3150,1.0,1957,4
Seattle,4,2.75,3650,2530,2.0,1951,4
Seattle,4,2.5,3240,2260,1.0,1946,4
Seattle,4,3.25,4700,2520,1.0,2005,4
SeaTac,3,1.0,1010,1010,1.0,1954,1
Seattle,3,1.0,1250,1030,1.0,1949,1
Renton,2,1.0,1500,880,1.5,1928,1
Des Moines,3,1.75,1590,1590,2.0,1986,1
Renton,2,1.0,950,950,1.0,1958,1
Renton,4,2.0,1530,1530,2.0,1942,1
Kent,3,1.5,1270,1270,1.0,1964,1
SeaTac,2,1.0,1110,1110,1.0,1951,1
Kent,3,1.5,1470,1470,1.0,1958,1
Federal Way,4,2.25,1720,1120,1.0,1978,1
Federal Way,4,1.75,1880,1180,1.0,1978,1
SeaTac,3,1.75,1590,1090,1.0,1957,1
Renton,4,2.5,2290,2290,2.0,2001,1
Federal Way,3,2.5,2080,2080,2.0,1989,2
Seattle,2,1.0,820,820,1.0,1916,2
Seattle,2,2.25,1000,1000,3.0,2006,2
Seattle,2,1.0,810,810,1.0,1919,2
Seattle,3,1.5,1460,1100,1.0,1971,2
Renton,3,2.25,2270,1380,1.0,1977,2
Renton,4,1.75,1700,1120,1.0,1981,2
Seattle,4,2.5,2040,2040,2.0,2011,2
Seattle,2,1.0,1320,1320,1.5,1909,2
Kenmore,5,2.0,1930,1020,1.0,1962,2
Seattle,4,1.5,1390,1140,1.0,1965,2
Kenmore,4,2.0,1670,1670,1.0,1955,2
Seattle,4,2.75,1240,800,1.0,1987,2
Kirkland,5,1.75,1880,960,1.0,1963,2
Redmond,3,2.0,1240,1240,1.0,1988,2
Woodinville,3,1.75,2930,2030,1.0,1993,2
Kent,3,1.75,1950,1950,1.0,1985,2
Seattle,2,1.0,1260,1040,1.0,1951,2
Seattle,4,1.75,1990,1190,1.5,1944,2
Seattle,4,2.0,2240,1120,1.0,1956,2
Kenmore,4,2.25,2590,1340,1.0,1968,2
Federal Way,6,2.5,4410,2350,1.0,1965,2
Kirkland,3,1.0,2110,1110,1.0,1924,2
Renton,4,2.75,2320,2320,2.0,2012,2
Seattle,4,1.0,1600,1600,1.5,1916,2
Maple Valley,3,2.0,2590,1980,2.0,1988,3
Seattle,3,1.5,2240,1370,2.0,1929,3
Des Moines,3,3.0,2600,1890,1.5,1989,3
Duvall,5,2.5,2630,2630,2.0,2003,3
Seattle,3,1.0,1590,1590,1.0,1944,3
Seattle,3,1.5,2600,1400,1.0,1940,3
Seattle,5,2.0,2450,1240,1.0,1900,3
Redmond,4,2.5,2440,2440,2.0,1996,3
Seattle,3,2.0,1480,750,1.0,1928,3
Newcastle,4,2.5,2760,2760,2.0,1999,3
Seattle,4,2.0,2300,1550,1.5,1915,3
Seattle,4,1.75,1640,920,1.0,1921,3
Seattle,3,3.25,1730,1320,2.0,2008,3
Snoqualmie,3,2.5,2930,2930,2.0,2008,3
Snoqualmie,4,2.75,3310,3310,2.0,2008,3
Redmond,3,2.5,2620,2620,2.0,1992,3
Sammamish,4,2.75,2620,2620,2.0,2000,3
Seattle,3,2.25,2330,1520,1.5,1927,3
Seattle,3,1.75,1940,1440,1.0,1960,3
Issaquah,4,2.5,2920,2920,2.0,1990,3
Sammamish,3,2.5,2390,2390,2.0,2006,3
Bellevue,4,2.25,1960,1290,1.0,1959,4
Seattle,5,3.0,2170,1450,1.5,1911,4
Bellevue,5,3.25,2900,1890,1.0,1967,4
Seattle,4,2.25,2280,1960,1.5,1940,4
Bellevue,3,2.5,2770,2770,2.0,1991,4
Newcastle,4,3.5,4140,4140,2.0,2000,4
Seattle,4,4.25,4960,3680,2.5,1909,4
Des Moines,2,1.5,1220,1220,1.5,1976,1
Seattle,4,1.0,1290,1290,1.5,1957,1
Auburn,3,2.25,1590,1090,1.0,1978,1
Algona,3,2.0,1560,1560,1.0,1992,1
Renton,3,2.0,2120,2120,1.0,1991,1
Seattle,3,2.0,1330,630,1.0,1900,1
Seattle,2,1.0,1000,1000,1.0,1942,1
Burien,3,1.75,1050,1050,1.0,1980,1
Seattle,2,1.0,1880,940,1.0,1919,1
Seattle,2,1.0,1090,730,1.0,1942,1
Seattle,3,1.0,1210,1210,1.0,1955,1
Renton,3,2.5,2260,2260,2.0,1994,2
Seattle,3,2.0,1060,1060,1.0,1981,2
Kent,4,2.5,2280,2280,2.0,1994,2
Seattle,3,1.75,2180,1090,1.0,1961,2
Kenmore,3,2.25,1490,1490,2.0,2009,2
Seattle,2,2.5,1240,1240,2.0,2007,2
Renton,3,2.5,2200,2200,2.0,1990,2
Seattle,3,2.0,1550,1150,1.0,1959,2
Woodinville,3,1.0,1200,1200,1.0,1971,2
Kenmore,3,2.5,1860,1860,2.0,2000,2
Seattle,3,1.0,1220,1220,1.0,1901,2
Covington,4,2.5,2910,2910,2.0,2002,2
Redmond,2,1.75,1340,1340,1.0,2004,2
North Bend,3,1.75,1510,1240,1.0,1989,2
Seattle,3,1.75,1680,840,1.0,1900,2
Kirkland,3,2.25,1820,1260,1.0,1974,2
Seattle,5,2.75,2220,1230,1.0,1973,2
Bothell,5,2.5,3090,2990,1.0,1957,2
Bellevue,3,1.75,2580,1290,1.0,1951,2
Woodinville,4,2.25,1820,1340,1.0,1977,2
Seattle,3,1.75,1920,960,1.0,1947,2
North Bend,4,2.75,2620,2620,2.0,2013,2
Sammamish,3,2.5,1950,1950,2.0,1988,3
Snoqualmie,4,2.5,2720,2720,2.0,2012,3
Seattle,3,1.5,2000,2000,1.0,1953,3
Sammamish,4,2.0,2340,1170,1.0,1966,3
Federal Way,4,3.25,4240,3550,2.0,1989,3
Sammamish,3,2.5,2670,2670,1.0,1987,3
Issaquah,4,2.5,2560,2560,2.0,1992,3
Seattle,2,1.0,1890,1890,1.5,1909,3
Seattle,2,2.5,1740,1210,2.0,1994,3
Bellevue,4,2.25,2060,1440,1.0,1983,3
Seattle,4,2.5,3190,2210,1.0,1946,3
Seattle,4,2.5,2310,1490,1.5,1927,4
Seattle,4,1.75,3420,1770,1.0,1947,4
Seattle,4,3.0,2840,2060,1.5,1931,4
Seattle,5,3.75,3990,3090,2.0,1937,4
Seattle,4,2.75,2600,1560,1.0,1976,4
Seattle,4,2.5,2310,2310,2.0,2013,4
Kirkland,3,2.5,2780,2780,2.0,2009,4
Issaquah,7,4.5,4290,4290,1.5,1982,4
Bellevue,3,2.25,3060,3060,2.0,1983,4
Seattle,4,3.5,3760,2860,2.0,2014,4
Mercer Island,4,1.75,2500,1500,1.0,1970,4
Mercer Island,4,2.5,3150,3150,2.0,1966,4
Bellevue,6,2.75,5700,2850,1.0,1977,4
Renton,3,2.5,1960,1960,2.0,2004,1
Sammamish,5,2.75,2080,2080,2.0,1987,3
Woodinville,4,2.5,2550,2550,2.0,1992,3
Seattle,3,2.25,1760,1760,3.0,2014,3
Sammamish,3,2.25,2675,2675,2.0,1984,3
Redmond,3,2.5,2460,2460,2.0,1996,3
Des Moines,3,1.75,1790,1040,1.0,1960,1
Seattle,1,1.0,750,750,1.0,1918,1
Kirkland,3,1.75,1620,1090,1.0,1974,2
Sammamish,4,1.75,2780,2780,2.0,1978,3
Seattle,4,3.5,3480,2580,2.0,1926,4
Federal Way,3,1.0,1010,1010,1.0,1969,1
Kent,4,2.0,1850,1540,1.0,1978,1
Auburn,4,2.5,1920,1920,2.0,1998,1
Tukwila,3,1.0,1450,1050,1.0,1958,1
Maple Valley,3,2.0,1380,1380,1.0,2008,1
Seattle,2,2.5,1380,1140,2.0,2011,1
Covington,3,2.5,2080,2080,2.0,2002,1
Maple Valley,3,2.5,1950,1950,2.0,2010,1
Auburn,4,2.5,2070,2070,2.0,2003,2
Shoreline,3,1.0,950,950,1.0,1950,2
Issaquah,2,1.5,1140,1140,2.0,1988,2
Seattle,3,1.0,960,960,1.0,1952,2
Kent,3,2.25,2130,1570,1.0,1987,2
Kent,5,2.5,3020,1510,1.0,1978,2
Renton,3,1.5,1320,1320,1.0,1970,2
Seattle,2,2.5,1175,740,2.0,2005,2
Seattle,3,1.75,1990,1320,1.0,1963,2
Auburn,3,2.5,2680,2680,2.0,1990,2
Kirkland,3,1.75,1510,1510,1.0,1967,2
Seattle,2,1.0,1210,1060,1.0,1950,2
Issaquah,3,2.25,1410,1290,2.0,2004,2
Seattle,3,2.5,1495,1405,3.0,2006,2
Seattle,3,1.5,2030,1330,1.0,1963,2
Seattle,2,1.75,1710,1330,2.0,1920,2
Issaquah,4,1.75,1790,1490,1.0,1969,2
Newcastle,4,2.75,2150,1240,1.0,1976,2
Snoqualmie,3,2.5,2240,2240,2.0,2002,2
Bellevue,3,1.5,1120,1120,1.0,1956,2
Preston,2,2.0,1410,1410,1.5,1909,2
Lake Forest Park,4,2.75,2340,1720,1.0,1967,2
Seattle,2,1.0,1170,970,1.0,1941,2
Seattle,3,1.75,1890,1290,1.0,1965,2
Seattle,3,1.0,950,950,1.5,1948,2
Sammamish,3,2.0,1750,1490,1.0,1982,2
Issaquah,3,1.75,2770,1580,1.0,1978,2
Seattle,3,2.0,1720,960,1.0,1941,3
Maple Valley,4,2.5,2910,2910,2.0,2006,3
Issaquah,3,2.5,1690,1690,2.0,1984,3
Seattle,4,1.75,1720,1460,1.5,1925,3
Sammamish,5,2.75,2910,1590,1.0,1977,3
Seattle,3,1.5,1790,1790,1.5,1910,3
Seattle,3,2.0,1810,1810,1.5,1925,3
Woodinville,3,2.75,2930,1860,1.0,2004,3
Redmond,3,2.75,2180,1310,1.0,1981,3
Issaquah,4,2.5,2220,2220,2.0,1988,3
Seattle,5,2.5,3990,1990,1.0,1962,3
Redmond,4,2.5,2150,2150,2.0,1985,3
Seattle,3,2.0,1760,960,1.0,1920,3
Seattle,3,2.5,1960,980,1.0,1940,3
Bellevue,4,2.5,2430,1670,1.0,1963,3
Issaquah,3,2.5,2290,2290,2.0,2006,3
Seattle,4,2.25,1990,1420,1.5,1932,3
Sammamish,4,2.5,2720,2720,2.0,1987,3
Sammamish,4,2.5,2710,2710,2.0,1999,3
Redmond,3,2.25,2610,2610,2.0,1988,3
Seattle,3,2.5,1840,920,1.0,1926,3
Seattle,3,1.5,1840,1840,2.0,1961,3
Kirkland,4,2.75,3270,3270,2.0,2014,4
Snoqualmie,4,2.5,3190,3190,2.0,2001,4
Seattle,4,2.0,2360,1260,1.0,1939,4
Vashon,3,3.0,3740,3740,2.0,1991,4
